2020-07-30 13:27:09 INFO  BrowserUtility 24 - Launching Browser: chrome
2020-07-30 13:27:18 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:27:18 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:27:22 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:27:29 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:30:03 INFO  BrowserUtility 24 - Launching Browser: chrome
2020-07-30 13:30:11 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:30:11 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:30:12 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (1b1523929669422c0b070f24a4de1602)] -> xpath: //div[text()='OK']]
2020-07-30 13:30:13 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (1b1523929669422c0b070f24a4de1602)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:30:16 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (1b1523929669422c0b070f24a4de1602)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:30:16 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:30:20 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (1b1523929669422c0b070f24a4de1602)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:30:23 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (1b1523929669422c0b070f24a4de1602)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:30:23 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (1b1523929669422c0b070f24a4de1602)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:30:24 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:34:54 INFO  BrowserUtility 24 - Launching Browser: chrome
2020-07-30 13:35:03 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:35:03 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:35:03 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> xpath: //div[text()='OK']]
2020-07-30 13:35:04 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:35:07 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:35:08 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:35:08 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:35:12 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:35:14 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:35:14 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:35:14 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (65341e51a1b534dce4379cc118a2ab44)] -> xpath: //a[@title='Close']]
2020-07-30 13:35:15 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:35:16 INFO  SignUpTest 30 - Test running on browser: firefox
2020-07-30 13:35:16 INFO  CommonUtility 37 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/config.properties
2020-07-30 13:35:16 INFO  CommonUtility 44 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/log4j.properties
2020-07-30 13:35:16 INFO  BrowserUtility 31 - Launching Browser: firefox
2020-07-30 13:35:41 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:35:41 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:35:42 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> xpath: //div[text()='OK']]
2020-07-30 13:35:43 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:35:47 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:35:47 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:35:47 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:35:52 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:35:56 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:35:56 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:35:56 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (a1b6e69d-4771-4667-bc4e-cafc50ea6122)] -> xpath: //a[@title='Close']]
2020-07-30 13:36:03 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:39:48 INFO  BrowserUtility 24 - Launching Browser: chrome
2020-07-30 13:39:56 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:39:56 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:39:56 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> xpath: //div[text()='OK']]
2020-07-30 13:39:57 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:40:01 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:40:01 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:40:01 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:40:09 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:40:12 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:40:12 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:40:13 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (f78e7185116bf44fe1709e2a1ee4cb86)] -> xpath: //a[@title='Close']]
2020-07-30 13:40:13 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:40:14 INFO  SignUpTest 30 - Test running on browser: firefox
2020-07-30 13:40:14 INFO  CommonUtility 37 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/config.properties
2020-07-30 13:40:14 INFO  CommonUtility 44 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/log4j.properties
2020-07-30 13:40:14 INFO  BrowserUtility 31 - Launching Browser: firefox
2020-07-30 13:40:40 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:40:40 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:40:40 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> xpath: //div[text()='OK']]
2020-07-30 13:40:41 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:40:45 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:40:45 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:40:45 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:40:48 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:40:52 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:40:53 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:40:53 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (42812caa-9c74-43aa-8060-e1973f3141ad)] -> xpath: //a[@title='Close']]
2020-07-30 13:41:03 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:48:26 INFO  BrowserUtility 25 - Launching Browser: chrome
2020-07-30 13:48:58 INFO  BrowserUtility 24 - Launching Browser: chrome
2020-07-30 13:49:08 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:49:08 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:49:09 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //div[text()='OK']]
2020-07-30 13:49:09 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:49:13 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:49:13 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:49:13 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:49:20 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:49:22 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:49:23 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:49:23 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //a[@title='Close']]
2020-07-30 13:49:23 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:49:24 INFO  SignUpTest 30 - Test running on browser: firefox
2020-07-30 13:49:24 INFO  CommonUtility 37 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/config.properties
2020-07-30 13:49:24 INFO  CommonUtility 44 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/log4j.properties
2020-07-30 13:49:24 INFO  BrowserUtility 31 - Launching Browser: firefox
2020-07-30 13:49:50 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:49:50 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:49:51 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //div[text()='OK']]
2020-07-30 13:49:52 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //div[text()='Sign up']]
